num	SampleID	Sample_name	Sample_name2	Sample_name3	Sequencing	Site.name	Site.name	Sample 	AreaSample	Type of rocks	Rocks_v2	Latitude	Longitude	Sun exposure	Elevation (m asl)	Sea distance (km)	OriginalYear	Continent	Fossil	Year of collection
74	Mars_74	Mars_74	Mars-74	Mars-74	FEM	Anderson Ridge	Anderson Ridge	1	Northen Victoria Land	Granite	Granite	-74.714167	162.617778	n/a	500	2	11-Oct	Antarctica 	0	2010
87	Mars_87b	Mars_87b	Mars-87b	Mars-87b	FEM	Anderson Ridge	Anderson Ridge	967-x	Northen Victoria Land	Granite	Granite	-74.714167	162.617778	n/a	500	2	1996	Antarctica 	0	1996
2	Mars_2	Mars_2	Mars-2	Mars-2	FEM	Archambault Ridge	Archambault Ridge	1	Northen Victoria Land	Granite	Granite	-74.74069	162.67567	n/a	2725	90	11-Oct	Antarctica	0	2010
3	Mars_3	Mars_3	Mars-3	Mars-3	FEM	Archambault Ridge	Archambault Ridge	3	Northen Victoria Land	Sandstone	Sandstone	-73.66942	162.59369	n/a	3400	85	11-Oct	Antarctica	0	2010
96	BatPronordMG_2	BatPronordMG_2	BatPronordMG_2	BatPronordMG_2	JGI	Battleship Promontory	Battleship Promontory	4	Dry Valleys	Sandstone	Sandstone	-76.901	160.91	North	834	35.5	15-16	Antarctica	0	2015
97	ButProsudMG_2	ButProsudMG_2	ButProsudMG_2	ButProsudMG_2	JGI	Battleship Promontory	Battleship Promontory	4	Dry Valleys	Sandstone	Sandstone	-76.901	160.91	South	834	35.5	15-16	Antarctica	0	2015
123	FICUS_Selbmann_12	FICUS_Selbmann_1_17	FICUS_Selbmann_1_17	FICUS_Selbmann_1_9	JGI-FICUS	Battleship Promontory	Battleship Promontory	2	Dry Valleys	Sandstone	Sandstone	-76.901	160.91	North	910	n/a	15-16	Antarctica	0	2015
122	FICUS_Selbmann_11	FICUS_Selbmann_1_18	FICUS_Selbmann_1_18	FICUS_Selbmann_1_8	JGI-FICUS	Battleship Promontory	Battleship Promontory	1	Dry Valleys	Sandstone	Sandstone	-76.901	160.91	North	910	n/a	15-16	Antarctica	0	2015
125	FICUS_Selbmann_14	FICUS_Selbmann_1_19	FICUS_Selbmann_1_19	FICUS_Selbmann_1_4	JGI-FICUS	Battleship Promontory	Battleship Promontory	6	Dry Valleys	Sandstone	Sandstone	-76.901	160.91	North	910	n/a	15-16	Antarctica	0	2015
124	FICUS_Selbmann_13	FICUS_Selbmann_1_20	FICUS_Selbmann_1_20	FICUS_Selbmann_1_3	JGI-FICUS	Battleship Promontory	Battleship Promontory	3	Dry Valleys	Sandstone	Sandstone	-76.901	160.91	North	910	n/a	15-16	Antarctica	0	2015
175	FICUS_Selbmann_76	FICUS_Selbmann_7_13	FICUS_Selbmann_7_13	FICUS_Selbmann_7_10	JGI-FICUS	Battleship Promontory	Battleship Promontory	9a	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
177	FICUS_Selbmann_78	FICUS_Selbmann_7_14	FICUS_Selbmann_7_14	FICUS_Selbmann_7_8	JGI-FICUS	Battleship Promontory	Battleship Promontory	5	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	2004	Antarctica	0	2004
176	FICUS_Selbmann_77	FICUS_Selbmann_7_15	FICUS_Selbmann_7_15	FICUS_Selbmann_7_7	JGI-FICUS	Battleship Promontory	Battleship Promontory	2	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	2004	Antarctica	0	2004
174	FICUS_Selbmann_74	FICUS_Selbmann_7_20	FICUS_Selbmann_7_20	FICUS_Selbmann_7_4	JGI-FICUS	Battleship Promontory	Battleship Promontory	6	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	2004	Antarctica	0	2004
185	FICUS_Selbmann_89	FICUS_Selbmann_8_15	FICUS_Selbmann_8_15	FICUS_Selbmann_8_8	JGI-FICUS	Battleship Promontory	Battleship Promontory	2	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
184	FICUS_Selbmann_88	FICUS_Selbmann_8_16	FICUS_Selbmann_8_16	FICUS_Selbmann_8_7	JGI-FICUS	Battleship Promontory	Battleship Promontory	1	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
191	FICUS_Selbmann_96	FICUS_Selbmann_9_5	FICUS_Selbmann_9_11	FICUS_Selbmann_9_5	JGI-FICUS	Battleship Promontory	Battleship Promontory	NA	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
188	FICUS_Selbmann_93	FICUS_Selbmann_9_12	FICUS_Selbmann_9_12	FICUS_Selbmann_9_2	JGI-FICUS	Battleship Promontory	Battleship Promontory	7	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
187	FICUS_Selbmann_92	FICUS_Selbmann_9_13	FICUS_Selbmann_9_13	FICUS_Selbmann_9	JGI-FICUS	Battleship Promontory	Battleship Promontory	6	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
190	FICUS_Selbmann_95	FICUS_Selbmann_9_7	FICUS_Selbmann_9_14	FICUS_Selbmann_9_7	JGI-FICUS	Battleship Promontory	Battleship Promontory	NA	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
189	FICUS_Selbmann_94	FICUS_Selbmann_9_6	FICUS_Selbmann_9_15	FICUS_Selbmann_9_6	JGI-FICUS	Battleship Promontory	Battleship Promontory	NA	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
186	FICUS_Selbmann_91	FICUS_Selbmann_9_16	FICUS_Selbmann_9_16	FICUS_Selbmann_9_4	JGI-FICUS	Battleship Promontory	Battleship Promontory	5	Dry Valleys	Sandstone	Sandstone	-76.91	160.935	n/a	1000	n/a	11-Oct	Antarctica	0	2010
82	Mars_82	Mars_82	Mars-82	Mars-82	FEM	Convoy Range	Convoy Range	3a	Dry Valleys	Sandstone	Sandstone	-76.965944	160.765556	n/a	n/a	n/a	2004	Antarctica 	0	2004
83	Mars_83	Mars_83	Mars-83	Mars-83	FEM	Convoy Range	Convoy Range	3b	Dry Valleys	Sandstone	Sandstone	-76.941667	161.078889	n/a	n/a	n/a	2004	Antarctica 	0	2004
84	Mars_84	Mars_84	Mars-84	Mars-84	FEM	Convoy Range	Convoy Range	8	Dry Valleys	Sandstone	Sandstone	-76.965944	160.765556	n/a	n/a	n/a	2004	Antarctica 	0	2004
65	Mars_65	Mars_65	Mars-65	Mars-65	FEM	Crater Circle	Crater Circle	1	Northen Victoria Land	Granite	Granite	-72.60333	169.34883	n/a	120	1.5	11-Oct	Antarctica 	0	2010
73	Mars_73	Mars_73	Mars-73	Mars-73	FEM	Crater Circle	Crater Circle	1	Northen Victoria Land	Granite	Granite	-72.60333	169.34883	n/a	120	32	11-Oct	Antarctica 	0	2010
88	Mars_88	Mars_88	Mars-88	Mars-88	FEM	Dufayel Island 	Dufayel Island 	012-12	Antarctic Peninsula	Basalt/Quartz	Basalt/Dolerite	-62.16608	-58.55799	n/a	30	0	2001	Antarctica 	0	2001
107	FingerMtnordMG_2	FingerMtnordMG_2	FingerMtnordMG_2	FingerMtnordMG_2	JGI	Finger Mt.	Finger Mt.	6	Dry Valleys	Sandstone	Sandstone	-77.911	161.577	North	1720	n/a	15-16	Antarctica	0	2015
108	FingerMtsudMG_2	FingerMtsudMG_2	FingerMtsudMG_2	FingerMtsudMG_2	JGI	Finger Mt.	Finger Mt.	6	Dry Valleys	Sandstone	Sandstone	-77.755	160.745	South	1720	n/a	15-16	Antarctica	0	2015
10	Mars_10	Mars_10	Mars-10	Mars-10	FEM	Finger Mt.	Finger Mt.	1	Dry Valleys	Sandstone	Sandstone	-77.75025	160.74569	North	1720	n/a	15-16	Antarctica	0	2015
11	Mars_11	Mars_11	Mars-11	Mars-11	FEM	Finger Mt.	Finger Mt.	2	Dry Valleys	Sandstone	Sandstone	-77.75026	160.74589	North	1720	n/a	15-16	Antarctica	0	2015
12	Mars_12	Mars_12	Mars-12	Mars-12	FEM	Finger Mt.	Finger Mt.	3	Dry Valleys	Sandstone	Sandstone	-77.75027	160.74586	North	1720	n/a	15-16	Antarctica	0	2015
13	Mars_13	Mars_13	Mars-13	Mars-13	FEM	Finger Mt.	Finger Mt.	5	Dry Valleys	Sandstone	Sandstone	-77.75025	160.74553	North	1720	n/a	15-16	Antarctica	0	2015
15	Mars_15	Mars_15	Mars-15	Mars-15	FEM	Finger Mt.	Finger Mt.	3	Dry Valleys	Sandstone	Sandstone	-77.75281	160.74586	South	1720	n/a	15-16	Antarctica	0	2015
14	Mars_14	Mars_14	Mars-14	Mars-14	FEM	Finger Mt. 	Finger Mt. 	1	Dry Valleys	Sandstone	Sandstone	-77.75281	160.74444	South	1720	n/a	15-16	Antarctica	0	2015
16	Mars_16	Mars_16	Mars-16	Mars-16	FEM	Finger Mt. 	Finger Mt. 	4	Dry Valleys	Sandstone	Sandstone	-77.75281	160.74422	South	1720	n/a	15-16	Antarctica	0	2015
