num	SampleID	Sample_name	Sample_name2	Sample_name3	Sequencing	Site.name	Site.name	Sample 	AreaSample	Type of rocks	Rocks_v2	Latitude	Longitude	Sun exposure	Elevation (m asl)	Sea distance (km)	OriginalYear	Continent	Fossil	Year of collection
17	Mars_17	Mars_17	Mars-17	Mars-17	FEM	Finger Mt. 	Finger Mt. 	5	Dry Valleys	Sandstone	Sandstone	-77.75286	160.74453	South	1720	n/a	15-16	Antarctica	0	2015
18	Mars_18	Mars_18	Mars-18	Mars-18	FEM	Finger Mt. 	Finger Mt. 	6	Dry Valleys	Sandstone	Sandstone	-77.75278	160.74422	South	1720	n/a	15-16	Antarctica	0	2015
4	Mars_4b	Mars_4b	Mars-4b	Mars-4b	FEM	Ford Peak	Finger Mt. 	3	Northen Victoria Land	Sandstone	Sandstone	-75.69142	160.43256	n/a	1190	57	11-Oct	Antarctica	0	2010
37	Mars_37b	Mars_37b	Mars-37b	Mars-37b	FEM	Harrow Peak	Harrow Peak	1	Northen Victoria Land	Granite	Granite	-75.666667	161.26667	n/a	1230	6.5	11-Oct	Antarctica	0	2010
23	Mars_23	Mars_23	Mars-23	Mars-23	FEM	Helliwell Hills 	Helliwell Hills 	1	Northen Victoria Land	Sandstone	Sandstone	-71.79353	161.995717	n/a	675	233	15-16	Antarctica	0	2015
24	Mars_24	Mars_24	Mars-24	Mars-24	FEM	Helliwell Hills 	Helliwell Hills 	2	Northen Victoria Land	Sandstone	Sandstone	-71.73167	161.375667	n/a	995	233	15-16	Antarctica	0	2015
25	Mars_25	Mars_25	Mars-25	Mars-25	FEM	Helliwell Hills 	Helliwell Hills 	3a	Northen Victoria Land	Sandstone	Sandstone	-71.72968	161.3879	n/a	1028	233	15-16	Antarctica	0	2015
26	Mars_26	Mars_26	Mars-26	Mars-26	FEM	Helliwell Hills 	Helliwell Hills 	3b	Northen Victoria Land	Sandstone	Sandstone	-71.72968	161.3879	n/a	1028	233	15-16	Antarctica	0	2015
27	Mars_27b	Mars_27b	Mars-27b	Mars-27b	FEM	Helliwell Hills 	Helliwell Hills 	3c	Northen Victoria Land	Sandstone	Sandstone	-71.72968	161.3879	n/a	1028	233	15-16	Antarctica	0	2015
46	Mars_46	Mars_46	Mars-46	Mars-46	FEM	Inexpressible Island	Inexpressible Island	2	Northen Victoria Land	Sandstone	Sandstone	-74.88931	163.7455	n/a	0	0	11-Oct	Antarctica 	0	2010
47	Mars_47	Mars_47	Mars-47	Mars-47	FEM	Inexpressible Island	Inexpressible Island	3	Northen Victoria Land	Granite	Granite	-74.88931	163.7455	n/a	0	0	11-Oct	Antarctica 	0	2010
48	Mars_48	Mars_48	Mars-48	Mars-48	FEM	Inexpressible Island	Inexpressible Island	4	Northen Victoria Land	Granite	Granite	-74.88931	163.7455	n/a	0	0	11-Oct	Antarctica 	0	2010
49	Mars_49	Mars_49	Mars-49	Mars-49	FEM	Inexpressible Island	Inexpressible Island	5	Northen Victoria Land	Granite	Granite	-74.88931	163.7455	n/a	0	0	11-Oct	Antarctica 	0	2010
50	Mars_50b	Mars_50b	Mars-50b	Mars-50b	FEM	Inexpressible Island	Inexpressible Island	6	Northen Victoria Land	Granite	Granite	-74.88931	163.7455	n/a	0	0	11-Oct	Antarctica 	0	2010
51	Mars_51b	Mars_51b	Mars-51b	Mars-51b	FEM	Inexpressible Island	Inexpressible Island	7	Northen Victoria Land	Granite	Granite	-74.88931	163.7455	n/a	0	0	11-Oct	Antarctica 	0	2010
85	Mars_85b	Mars_85b	Mars-85b	Mars-85b	FEM	Inexpressible Island	Inexpressible Island	989.2	Northen Victoria Land	Granite	Granite	-74.889306	163.7455	n/a	0	0	1998	Antarctica 	0	1998
43	Mars_43	Mars_43	Mars-43	Mars-43	FEM	Kay Island	Kay Island	1	Northen Victoria Land	Quartz	Quartz	-74.07042	165.31667	n/a	80	0	11-Oct	Antarctica 	0	2010
44	Mars_44	Mars_44	Mars-44	Mars-44	FEM	Kay Island	Kay Island	2	Northen Victoria Land	Quartz	Quartz	-74.07039	165.31614	n/a	80	0	11-Oct	Antarctica 	0	2010
45	Mars_45	Mars_45	Mars-45	Mars-45	FEM	Kay Island	Kay Island	3	Northen Victoria Land	Quartz	Quartz	-74.0705	165.316	n/a	80	0	11-Oct	Antarctica 	0	2010
109	KnobheadnordMG_2	KnobheadnordMG_2	KnobheadnordMG_2	KnobheadnordMG_2	JGI	Knobhead	Knobhead	2	Dry Valleys	Sandstone	Sandstone	-77.91	161.579	North	2150	n/a	15-16	Antarctica	0	2015
110	KnobheadsudMG_2	KnobheadsudMG_2	KnobheadsudMG_3	KnobheadsudMG_4	JGI	Knobhead	Knobhead	3	Dry Valleys	Sandstone	Sandstone	-77.911	161.577	South	2150	n/a	15-16	Antarctica	0	2015
114	FICUS_Selbmann_2	FICUS_Selbmann_2_22	FICUS_Selbmann_2_22	FICUS_Selbmann_2_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	2	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
115	FICUS_Selbmann_3	FICUS_Selbmann_3_22	FICUS_Selbmann_3_22	FICUS_Selbmann_3_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	3	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
116	FICUS_Selbmann_4	FICUS_Selbmann_4_13	FICUS_Selbmann_4_13	FICUS_Selbmann_4_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	3b	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
117	FICUS_Selbmann_5	FICUS_Selbmann_5_12	FICUS_Selbmann_5_12	FICUS_Selbmann_5_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	4	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
118	FICUS_Selbmann_6	FICUS_Selbmann_6_12	FICUS_Selbmann_6_12	FICUS_Selbmann_6_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	5	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
168	FICUS_Selbmann_67	FICUS_Selbmann_6_14	FICUS_Selbmann_6_14	FICUS_Selbmann_6_8	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	1	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
169	FICUS_Selbmann_68	FICUS_Selbmann_6_17	FICUS_Selbmann_6_17	FICUS_Selbmann_6	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	2	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
119	FICUS_Selbmann_7	FICUS_Selbmann_7_12	FICUS_Selbmann_7_12	FICUS_Selbmann_7_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	2	Dry Valleys	Sandstone	Sandstone	-77.6	161.083	North	1770	n/a	15-16	Antarctica	0	2015
178	FICUS_Selbmann_79	FICUS_Selbmann_7_16	FICUS_Selbmann_7_16	FICUS_Selbmann_7_16	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	4	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	n/a	1770	n/a	2004	Antarctica	0	2004
172	FICUS_Selbmann_72	FICUS_Selbmann_7_18	FICUS_Selbmann_7_18	FICUS_Selbmann_7_6	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	1	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
171	FICUS_Selbmann_71	FICUS_Selbmann_7_19	FICUS_Selbmann_7_19	FICUS_Selbmann_7_5	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	4b	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
173	FICUS_Selbmann_73	FICUS_Selbmann_7_21	FICUS_Selbmann_7_21	FICUS_Selbmann_7_3	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	2	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
170	FICUS_Selbmann_70	FICUS_Selbmann_7_22	FICUS_Selbmann_7_22	FICUS_Selbmann_7_2	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	4	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	North	1770	n/a	18-19	Antarctica	0	2018
120	FICUS_Selbmann_8	FICUS_Selbmann_8_12	FICUS_Selbmann_8_12	FICUS_Selbmann_8_11	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	4	Dry Valleys	Sandstone	Sandstone	-77.6	161.083	North	1770	n/a	15-16	Antarctica	0	2015
180	FICUS_Selbmann_82	FICUS_Selbmann_8_19	FICUS_Selbmann_8_19	FICUS_Selbmann_8_5	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	5	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	n/a	1770	n/a	2004	Antarctica	0	2004
179	FICUS_Selbmann_80	FICUS_Selbmann_8_22	FICUS_Selbmann_8_22	FICUS_Selbmann_8_22	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	2	Dry Valleys	Sandstone	Sandstone	-77.598	161.007	n/a	1770	n/a	2004	Antarctica	0	2004
121	FICUS_Selbmann_9	FICUS_Selbmann_9_9	FICUS_Selbmann_9_9	FICUS_Selbmann_9_8	JGI-FICUS	Linnaeus Terrace	Linnaeus Terrace	5	Dry Valleys	Sandstone	Sandstone	-77.6	161.083	North	1770	n/a	15-16	Antarctica	0	2015
104	LinTernordMG_2	LinTernordMG_2	LinTernordMG_2	LinTernordMG_2	JGI	Linnaeus Terrace	Linnaeus Terrace	3	Dry Valleys	Sandstone	Sandstone	-77.6	161.083	North	1649	n/a	15-16	Antarctica	0	2015
89	Mars_89b	Mars_89b	Mars-89b	Mars-89b	FEM	Machu Picchu station 	Machu Picchu Base 	012-21	Antarctic Peninsula	Granite/Quartz	Quartz	-62.10008	-58.51664	n/a	50	1	2001	Antarctica 	0	2001
90	Mars_90b	Mars_90b	Mars-90b	Mars-90b	FEM	Machu Picchu station 	Machu Picchu Base 	012-15	Antarctic Peninsula	Quartz/Diorite	Quartz	-62.10008	-58.51664	n/a	40	1	2001	Antarctica 	0	2001
66	Mars_66	Mars_66	Mars-66	Mars-66	FEM	Mt. Billing	Mt. Billing	1	Northen Victoria Land	Dolerite	Basalt/Dolerite	-75.703333	160.908	n/a	1300	44	11-Oct	Antarctica 	0	2010
67	Mars_67b	Mars_67b	Mars-67b	Mars-67b	FEM	Mt. Billing	Mt. Billing	2	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.91389	n/a	1300	44	11-Oct	Antarctica 	0	2010
68	Mars_68	Mars_68	Mars-68	Mars-68	FEM	Mt. Billing	Mt. Billing	3	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.91389	n/a	1300	44	11-Oct	Antarctica 	0	2010
69	Mars_69	Mars_69	Mars-69	Mars-69	FEM	Mt. Billing	Mt. Billing	4	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.91389	n/a	1300	44	11-Oct	Antarctica 	0	2010
70	Mars_70	Mars_70	Mars-70	Mars-70	FEM	Mt. Billing	Mt. Billing	7	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.91389	n/a	1300	44	11-Oct	Antarctica 	0	2010
71	Mars_71	Mars_71	Mars-71	Mars-71	FEM	Mt. Billing	Mt. Billing	8	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.91389	n/a	1300	44	11-Oct	Antarctica 	0	2010
72	Mars_72	Mars_72	Mars-72	Mars-72	FEM	Mt. Billing	Mt. Billing	9	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.91389	n/a	1300	44	11-Oct	Antarctica 	0	2010
86	Mars_86	Mars_86	Mars-86	Mars-86	FEM	Mt. Billing	Mt. Billing	97.46	Northen Victoria Land	Sandstone	Sandstone	-75.70525	160.913889	n/a	1300	44	1996	Antarctica 	0	1996
91	Mars_91	Mars_91	Mars-91	Mars-91	FEM	Mt. Billing	Mt. Billing	5:5:7:46	Northen Victoria Land	Granite	Granite	-74.889306	163.7455	n/a	1300	44	1996	Antarctica 	0	1996
1	Mars_1	Mars_1	Mars-1	Mars-1	FEM	Mt. Bowen	Mt. Bowen	1	Northen Victoria Land	Sandstone	Sandstone	-75.75	161.08333	n/a	1874	30.5	11-Oct	Antarctica	0	2010
31	Mars_31	Mars_31	Mars-31	Mars-31	FEM	Mt. Burrow	Mt. Burrow	1	Northen Victoria Land	Granite	Granite	-73.66667	163.66667	n/a	2000	26.6	11-Oct	Antarctica	0	2010
60	Mars_60b	Mars_60b	Mars-60b	Mars-60b	FEM	Mt. Burrow	Mt. Burrow	1	Northen Victoria Land	Granite	Granite	-73.66667	163.66667	n/a	2000	26.6	11-Oct	Antarctica 	0	2010
29	Mars_29	Mars_29	Mars-29	Mars-29	FEM	Mt. Dickason	Mt. Dickason	1	Northen Victoria Land	Granite	Granite	-74.39958	164.00597	n/a	1840	21	11-Oct	Antarctica	0	2010
30	Mars_30	Mars_30	Mars-30	Mars-30	FEM	Mt. Dickason	Mt. Dickason	4	Northen Victoria Land	Granite	Granite	-74.39958	164.00597	n/a	1840	21	11-Oct	Antarctica	0	2010
94	Mars_94	Mars_94	Mars-94	Mars-94	FEM	Mt. Dickason	Mt. Dickason	5	Northen Victoria Land	Granite	Granite	-74.399583	164.005972	n/a	1840	21	11-Oct	Antarctica	0	2010
95	Mars_95	Mars_95	Mars-95	Mars-95	FEM	Mt. Dickason	Mt. Dickason	3	Northen Victoria Land	Granite	Granite	-74.399583	164.005972	n/a	1840	21	11-Oct	Antarctica	0	2010
135	FICUS_Selbmann_28	FICUS_Selbmann_2_13	FICUS_Selbmann_2_13	FICUS_Selbmann_2_5	JGI-FICUS	Mt. Elektra	Mt. Elektra	2	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
134	FICUS_Selbmann_27	FICUS_Selbmann_2_14	FICUS_Selbmann_2_14	FICUS_Selbmann_2_2	JGI-FICUS	Mt. Elektra	Mt. Elektra	1	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
136	FICUS_Selbmann_29	FICUS_Selbmann_2_15	FICUS_Selbmann_2_15	FICUS_Selbmann_2_6	JGI-FICUS	Mt. Elektra	Mt. Elektra	3	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
130	FICUS_Selbmann_21	FICUS_Selbmann_2_16	FICUS_Selbmann_2_16	FICUS_Selbmann_2_10	JGI-FICUS	Mt. Elektra	Mt. Elektra	1	Dry Valleys	Sandstone	Sandstone	-77.491	160.905	North	1968	n/a	15-16	Antarctica	0	2015
131	FICUS_Selbmann_23	FICUS_Selbmann_2_17	FICUS_Selbmann_2_17	FICUS_Selbmann_2_8	JGI-FICUS	Mt. Elektra	Mt. Elektra	3	Dry Valleys	Sandstone	Sandstone	-77.491	160.905	North	1968	n/a	15-16	Antarctica	0	2015
133	FICUS_Selbmann_25	FICUS_Selbmann_2_19	FICUS_Selbmann_2_19	FICUS_Selbmann_2_4	JGI-FICUS	Mt. Elektra	Mt. Elektra	5	Dry Valleys	Sandstone	Sandstone	-77.491	160.905	North	1968	n/a	15-16	Antarctica	0	2015
132	FICUS_Selbmann_24	FICUS_Selbmann_2_20	FICUS_Selbmann_2_20	FICUS_Selbmann_2_3	JGI-FICUS	Mt. Elektra	Mt. Elektra	4	Dry Valleys	Sandstone	Sandstone	-77.491	160.905	North	1968	n/a	15-16	Antarctica	0	2015
139	FICUS_Selbmann_32	FICUS_Selbmann_3_16	FICUS_Selbmann_3_16	FICUS_Selbmann_3_10	JGI-FICUS	Mt. Elektra	Mt. Elektra	5	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
138	FICUS_Selbmann_31	FICUS_Selbmann_3_17	FICUS_Selbmann_3_17	FICUS_Selbmann_3_9	JGI-FICUS	Mt. Elektra	Mt. Elektra	4b	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
141	FICUS_Selbmann_34	FICUS_Selbmann_3_18	FICUS_Selbmann_3_18	FICUS_Selbmann_3_8	JGI-FICUS	Mt. Elektra	Mt. Elektra	7	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
140	FICUS_Selbmann_33	FICUS_Selbmann_3_19	FICUS_Selbmann_3_19	FICUS_Selbmann_3_7	JGI-FICUS	Mt. Elektra	Mt. Elektra	6	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
142	FICUS_Selbmann_35	FICUS_Selbmann_3_20	FICUS_Selbmann_3_20	FICUS_Selbmann_3_3	JGI-FICUS	Mt. Elektra	Mt. Elektra	7b	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
137	FICUS_Selbmann_30	FICUS_Selbmann_3_21	FICUS_Selbmann_3_21	FICUS_Selbmann_3_21	JGI-FICUS	Mt. Elektra	Mt. Elektra	4	Dry Valleys	Sandstone	Sandstone	-77.492	160.907	North	1770	n/a	18-19	Antarctica	0	2018
78	Mars_78	Mars_78	Mars-78	Mars-78	FEM	Mt. Elektra	Mt. Elektra	2	Dry Valleys	Sandstone	Sandstone	-77.491667	160.90672	South	1770	n/a	18-19	Antarctica 	0	2018
28	Mars_28	Mars_28	Mars-28	Mars-28	FEM	Mt. Keinath	Mt. Keinath	1	Northen Victoria Land	Granite	Granite	-74.5505	164.06547	n/a	385	5.2	11-Oct	Antarctica	0	2010
52	Mars_52	Mars_52	Mars-52	Mars-52	FEM	Mt. Larsen	Mt. Larsen	1	Northen Victoria Land	Mixed	Granite	-74.88439	162.16611	n/a	935	10	11-Oct	Antarctica 	0	2010
53	Mars_53	Mars_53	Mars-53	Mars-53	FEM	Mt. Larsen	Mt. Larsen	2	Northen Victoria Land	Granite	Granite	-74.88439	162.16611	n/a	935	10	11-Oct	Antarctica 	0	2010
