"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"18","Battleship Promontory vs Mt. McGee",1,1.61483893477343,2.28363268600762,0.124900380861145,0.0066,0.0449357798165138,"."
"19","Battleship Promontory vs Harrow Peak",1,1.23538494179874,1.73554612018635,0.10370418196828,0.1189,0.222042168674699,""
"20","Battleship Promontory vs Starr Nunatak",1,2.68451561432177,3.72382244440034,0.163873065524589,1e-04,0.00413333333333333,"*"
"21","Battleship Promontory vs Kay Island",1,2.1748061380663,3.06508859186979,0.152757291742621,8e-04,0.0124,"."
"22","Battleship Promontory vs Inexpressible Island",1,2.45850614720199,3.25353402161142,0.134146801810916,2e-04,0.00590476190476191,"*"
"23","Battleship Promontory vs Ricker Hills",1,2.22784815661974,3.50506102073127,0.149119418053833,0.0018,0.0210566037735849,"."
"24","Battleship Promontory vs Mt. Larsen",1,1.15923773480596,1.6931602801321,0.0956957521055959,0.0379,0.11808040201005,""
"25","Battleship Promontory vs Mt. Nansen",1,1.1713069386275,1.61030451852694,0.0865275749208642,0.0529,0.146044444444444,""
"26","Battleship Promontory vs Vegetation Island",1,1.64304492481207,2.21225109148478,0.109450999864967,0.0042,0.0356712328767123,"."
"27","Battleship Promontory vs Widowmaker Pass",1,1.51379882476808,2.19961191765426,0.108893771158634,0.0129,0.062,""
"28","Battleship Promontory vs Crater Circle",1,1.05832677501848,1.45293164960464,0.083248572719733,0.0868,0.194281588447653,""
"29","Battleship Promontory vs Mt. Billing",1,1.88362805494537,2.63808282343709,0.102897039595546,0.0075,0.0449357798165138,"."
"30","Battleship Promontory vs Anderson Ridge",1,1.30309753673457,1.92654982907087,0.107469080634058,0.0276,0.0945245901639344,""
"31","Battleship Promontory vs Siegfried Peak",1,1.82750298475599,2.52569363521869,0.117333902359659,0.0014,0.018468085106383,"."
"32","Battleship Promontory vs Convoy Range",1,1.01350620317445,1.40219884370594,0.0761973531323693,0.1542,0.267050279329609,""
"33","Battleship Promontory vs Dufayel Island",1,1.25428231591172,1.76209433460423,0.105123757176721,0.1212,0.225657657657658,""
"34","Battleship Promontory vs Machu Picchu Base",1,1.34313077611649,1.84816766434822,0.103549434267135,0.027,0.0935195530726257,""
"35","Battleship Promontory vs Richard Nunatak",1,0.860361383261342,1.21016806839183,0.0703170395305102,0.2601,0.37415777262181,""
"36","University Valley vs Mt. Elektra",1,1.88593632289403,2.52305004654014,0.107258626817029,0.0012,0.0169090909090909,"."
"37","University Valley vs Linnaeus Terrace",1,1.53230066978571,2.10336036093793,0.0776051505395378,0.0059,0.0436818181818182,"."
"38","University Valley vs Mt. New Zealand",1,0.793592192491872,1.1247923327516,0.0856998194131263,0.2901,0.393216730038023,""
"39","University Valley vs Trio Nunatak",1,2.34229799584748,3.54498015326246,0.191155780376439,2e-04,0.00590476190476191,"*"
"40","University Valley vs Pudding Butte",1,1.89977552596557,2.85270335349603,0.130542354753543,0.005,0.0402597402597403,"."
"41","University Valley vs Unnamed Nunatak",1,1.60625475244875,2.33207906793107,0.162717429681869,0.0103,0.052344262295082,""
"42","University Valley vs Finger Mt.",1,1.63287317530835,2.37299342415902,0.11647740588504,0.0069,0.0449357798165138,"."
"43","University Valley vs Knobhead",1,0.386493189881506,0.544556305636111,0.0637313730704675,1,1,""
"44","University Valley vs Mt. Bowen",1,0.705369886661557,0.993843176655051,0.110502613525076,0.5082,0.56064768683274,""
"45","University Valley vs Schultz Peak",1,0.756570561504242,1.04337819611971,0.103887175783425,0.3427,0.401652173913044,""
"46","University Valley vs Archambault Ridge",1,0.835737051241458,1.23366062427088,0.120549299958711,0.1989,0.300242130750605,""
"47","University Valley vs Helliwell Hills",1,1.62274409546314,2.35302852963252,0.163939514561305,9e-04,0.0132857142857143,"."
"48","University Valley vs Mt. Keinath",1,1.21428607356322,1.71088949434709,0.176182572702844,0.1011,0.200261980830671,""
"49","University Valley vs Mt. Dickason",1,0.892842237435339,1.21857365751181,0.0997312527360875,0.164,0.273356200527704,""
"50","University Valley vs Mt. Burrow",1,0.969953984994338,1.31460469362126,0.127450807148647,0.2029,0.303859903381642,""
"51","University Valley vs Random Hills",1,1.4549550539975,1.93457614986687,0.162098437814103,0.005,0.0402597402597403,"."
"52","University Valley vs Mt. McGee",1,1.56256754860667,2.22697494253821,0.198359304615561,0.017,0.0750985915492958,""
"53","University Valley vs Harrow Peak",1,1.20875767639909,1.70310016295756,0.17552123902207,0.1048,0.204327044025157,""
"54","University Valley vs Starr Nunatak",1,2.39016865476673,3.29758877524924,0.215562650016098,2e-04,0.00590476190476191,"*"
"55","University Valley vs Kay Island",1,2.02875297299575,2.87240219220848,0.223144223534836,0.0076,0.0449357798165138,"."
"56","University Valley vs Inexpressible Island",1,2.0777135297288,2.67618662508303,0.160479531996705,0.0015,0.0186,"."
"57","University Valley vs Ricker Hills",1,1.80824614548412,3.04777890245174,0.18991904867197,0.0044,0.0363733333333333,"."
"58","University Valley vs Mt. Larsen",1,1.03514330842527,1.56437914806891,0.148080556949233,0.0868,0.194281588447653,""
"59","University Valley vs Mt. Nansen",1,1.04292278924057,1.41581913821564,0.124022562119615,0.0947,0.198717948717949,""
"60","University Valley vs Vegetation Island",1,1.54175152829244,2.02635035393126,0.155557796226456,0.007,0.0449357798165138,"."
"61","University Valley vs Widowmaker Pass",1,1.31518927457698,1.95804648792009,0.1511066108418,0.0196,0.0769113924050633,""
"62","University Valley vs Crater Circle",1,0.968621963501668,1.3098844959448,0.127051325983334,0.2067,0.3080625,""
"63","University Valley vs Mt. Billing",1,1.35696758739349,1.90067483626494,0.106178948763114,0.0283,0.0947288006111535,""
"64","University Valley vs Anderson Ridge",1,1.11740986692758,1.72707979668297,0.161001859724864,0.0888,0.195928825622776,""
"65","University Valley vs Siegfried Peak",1,1.57347283731626,2.15828857076335,0.152439933680981,0.0019,0.0214181818181818,"."
"66","University Valley vs Convoy Range",1,0.790944829859122,1.08522859506225,0.0978986211926789,0.2873,0.393216730038023,""
"67","University Valley vs Dufayel Island",1,1.2302639138747,1.73340175050025,0.178087969132802,0.0995,0.198717948717949,""
"68","University Valley vs Machu Picchu Base",1,1.31487770608806,1.78530596057469,0.165531322625507,0.0183,0.0764,""
"69","University Valley vs Richard Nunatak",1,0.684880596330402,0.966766530521412,0.0969990144306947,0.4067,0.464372007366482,""
"70","Mt. Elektra vs Linnaeus Terrace",1,1.56288156834568,2.07886808750086,0.0648049077614077,0.0079,0.0449357798165138,"."
"71","Mt. Elektra vs Mt. New Zealand",1,1.48041607264745,1.96497260514616,0.103610621858371,0.0165,0.0750985915492958,""
"72","Mt. Elektra vs Trio Nunatak",1,3.54563108544375,4.97550325662898,0.199215335342978,1e-04,0.00413333333333333,"*"
"73","Mt. Elektra vs Pudding Butte",1,3.57800368668473,5.05294264725196,0.173921888347165,1e-04,0.00413333333333333,"*"
"74","Mt. Elektra vs Unnamed Nunatak",1,2.46594486058326,3.32535701862987,0.163606327582925,4e-04,0.008,"*"
"75","Mt. Elektra vs Finger Mt.",1,1.52415616468397,2.09572038469782,0.0835090745582139,0.0034,0.0324307692307692,"."
"76","Mt. Elektra vs Knobhead",1,0.833890956737654,1.08197866026134,0.0768342777932646,0.3269,0.393216730038023,""
"77","Mt. Elektra vs Mt. Bowen",1,1.03192947715278,1.33893486210958,0.0933775677890618,0.0716,0.173744186046512,""
"78","Mt. Elektra vs Schultz Peak",1,1.16988510599614,1.50711915701422,0.0971888551157819,0.0589,0.154084388185654,""
"79","Mt. Elektra vs Archambault Ridge",1,1.39558359363225,1.87177580216324,0.117931088839355,0.0247,0.0878628571428571,""
"80","Mt. Elektra vs Helliwell Hills",1,2.31387273669823,3.11768765622927,0.15497246549923,2e-04,0.00590476190476191,"*"
"81","Mt. Elektra vs Mt. Keinath",1,1.16009179217673,1.50522625642821,0.103771304895099,0.0671,0.168429149797571,""
"82","Mt. Elektra vs Mt. Dickason",1,1.6712309179711,2.15626303645491,0.118761390057275,0.0057,0.0436296296296296,"."
"83","Mt. Elektra vs Mt. Burrow",1,1.21691630660344,1.55137394417676,0.0997579988588518,0.0577,0.152229787234043,""
"84","Mt. Elektra vs Random Hills",1,1.44916911473702,1.83252039480752,0.108867855307801,0.0189,0.0764,""
"85","Mt. Elektra vs Mt. McGee",1,1.55545446880567,2.04353999511068,0.127374631517324,0.0279,0.0945245901639344,""
"86","Mt. Elektra vs Harrow Peak",1,1.189543718568,1.54344031259644,0.106126217691396,0.068,0.169136,""
"87","Mt. Elektra vs Starr Nunatak",1,2.43333093863261,3.17248655431882,0.157267996970835,1e-04,0.00413333333333333,"*"
"88","Mt. Elektra vs Kay Island",1,1.98893322739534,2.61604965206404,0.148503762406092,0.0052,0.0408101265822785,"."
"89","Mt. Elektra vs Inexpressible Island",1,2.44147146586609,3.04973334196045,0.138311574777951,1e-04,0.00413333333333333,"*"
"90","Mt. Elektra vs Ricker Hills",1,3.41461979919462,5.09890027397016,0.220742122503384,4e-04,0.008,"*"
"91","Mt. Elektra vs Mt. Larsen",1,1.69655907917812,2.30677159422316,0.141460961839949,0.0178,0.0764,""
"92","Mt. Elektra vs Mt. Nansen",1,1.46887152017958,1.88195934159015,0.111477542595058,0.0169,0.0750985915492958,""
"93","Mt. Elektra vs Vegetation Island",1,1.76645010270713,2.22358101806078,0.122016689028192,0.0036,0.0332463768115942,"."
"94","Mt. Elektra vs Widowmaker Pass",1,2.09271164252007,2.85454963190342,0.1513984522374,0.0019,0.0214181818181818,"."
"95","Mt. Elektra vs Crater Circle",1,1.30350226641682,1.65952417504766,0.105975389577417,0.0574,0.15208547008547,""
"96","Mt. Elektra vs Mt. Billing",1,3.03563284271779,4.0438282787084,0.161470052968953,1e-04,0.00413333333333333,"*"
"97","Mt. Elektra vs Anderson Ridge",1,1.94553214858782,2.67973120421071,0.160657936953698,0.0078,0.0449357798165138,"."
"98","Mt. Elektra vs Siegfried Peak",1,2.00349123849758,2.6019862542379,0.132740948824783,6e-04,0.0106285714285714,"."
"99","Mt. Elektra vs Convoy Range",1,1.36932645173726,1.76617674383037,0.105341651278983,0.0227,0.0847831325301205,""
"100","Mt. Elektra vs Dufayel Island",1,1.19871865402773,1.55534484795144,0.106857299789111,0.0677,0.169136,""
"101","Mt. Elektra vs Machu Picchu Base",1,1.29204921504719,1.6489530261171,0.105371459890326,0.0453,0.134811915633833,""
"102","Mt. Elektra vs Richard Nunatak",1,0.772797007730772,1.0095211311492,0.0672587168057044,0.3874,0.448111940298507,""
"103","Linnaeus Terrace vs Mt. New Zealand",1,1.38926954761959,1.9039480898633,0.0831275063317987,0.0191,0.0764,""
"104","Linnaeus Terrace vs Trio Nunatak",1,3.27708881616023,4.69056081852053,0.163487944630648,1e-04,0.00413333333333333,"*"
"105","Linnaeus Terrace vs Pudding Butte",1,3.20824973352074,4.60438810422398,0.141219890080608,1e-04,0.00413333333333333,"*"
"106","Linnaeus Terrace vs Unnamed Nunatak",1,2.28311110583524,3.17059362510742,0.131175662223452,1e-04,0.00413333333333333,"*"
"107","Linnaeus Terrace vs Finger Mt.",1,1.67097516430783,2.34460407121911,0.0798989846831389,0.0037,0.0332463768115942,"."
"108","Linnaeus Terrace vs Knobhead",1,0.705707239261156,0.957111455666951,0.0532998560503395,0.7395,0.771868686868687,""
"109","Linnaeus Terrace vs Mt. Bowen",1,0.900285603991323,1.22100726337209,0.0670109640879492,0.2086,0.310148681055156,""
"110","Linnaeus Terrace vs Schultz Peak",1,0.990509058120386,1.3322501439376,0.0689133512145963,0.1069,0.20711875,""
"111","Linnaeus Terrace vs Archambault Ridge",1,1.08930592358227,1.5136605648978,0.0775692781917428,0.066,0.168021680216802,""
"112","Linnaeus Terrace vs Helliwell Hills",1,2.1946570909107,3.04564011066884,0.126660804064747,3e-04,0.00664285714285714,"*"
"113","Linnaeus Terrace vs Mt. Keinath",1,1.18875253123452,1.61223890347056,0.0866225128439507,0.053,0.146044444444444,""
"114","Linnaeus Terrace vs Mt. Dickason",1,1.34601679731556,1.80475513344499,0.0827688787330975,0.0246,0.0878628571428571,""
"115","Linnaeus Terrace vs Mt. Burrow",1,1.13856273119826,1.51840284826558,0.0777933963177987,0.0682,0.169136,""
"116","Linnaeus Terrace vs Random Hills",1,1.4801665349888,1.95605488502723,0.0933407979583409,0.007,0.0449357798165138,"."
"117","Linnaeus Terrace vs Mt. McGee",1,1.5486239789902,2.11631483124083,0.105203902851738,0.0058,0.0436818181818182,"."
"118","Linnaeus Terrace vs Harrow Peak",1,1.22063374201966,1.65547761545393,0.0887394924739183,0.056,0.151615720524017,""
"119","Linnaeus Terrace vs Starr Nunatak",1,2.6351162757257,3.55763120617103,0.1448686632804,2e-04,0.00590476190476191,"*"
"120","Linnaeus Terrace vs Kay Island",1,2.1181133528776,2.89118370110795,0.132070688391401,0.0015,0.0186,"."
"121","Linnaeus Terrace vs Inexpressible Island",1,2.56367774509114,3.32646688967623,0.126354474514797,1e-04,0.00413333333333333,"*"
"122","Linnaeus Terrace vs Ricker Hills",1,3.08118125708662,4.65256569095732,0.174563520259359,1e-04,0.00413333333333333,"*"
"123","Linnaeus Terrace vs Mt. Larsen",1,1.48207778806945,2.08222618905854,0.103685028216294,0.0179,0.0764,""
"124","Linnaeus Terrace vs Mt. Nansen",1,1.38761131500965,1.85367206060406,0.0888894797624608,0.0172,0.0750985915492958,""
"125","Linnaeus Terrace vs Vegetation Island",1,1.77724687510562,2.33447987416529,0.104523583594424,0.0026,0.0273220338983051,"."
"126","Linnaeus Terrace vs Widowmaker Pass",1,1.81113772465762,2.54279960615374,0.112798749515549,0.0031,0.031,"."
"127","Linnaeus Terrace vs Crater Circle",1,1.23112434190302,1.6400487218181,0.083505328578751,0.0658,0.168021680216802,""
"128","Linnaeus Terrace vs Mt. Billing",1,2.67668361522247,3.66072527232781,0.12772619106964,2e-04,0.00590476190476191,"*"
"129","Linnaeus Terrace vs Anderson Ridge",1,1.69294119024751,2.40329679939029,0.117789630912104,0.006,0.0436818181818182,"."
"130","Linnaeus Terrace vs Siegfried Peak",1,1.82542088132934,2.45648720105682,0.104725280473631,0.0018,0.0210566037735849,"."
"131","Linnaeus Terrace vs Convoy Range",1,1.30876383419158,1.7579749099575,0.0846891335779682,0.0239,0.0876804733727811,""
"132","Linnaeus Terrace vs Dufayel Island",1,1.23502029293142,1.67498929383717,0.0896915798709412,0.0546,0.148473684210526,""
"133","Linnaeus Terrace vs Machu Picchu Base",1,1.32380445694639,1.76701020348476,0.0893918799704598,0.0362,0.114510204081633,""
"134","Linnaeus Terrace vs Richard Nunatak",1,0.778759421312321,1.05933538935998,0.0555809196763156,0.3322,0.393216730038023,""
"135","Mt. New Zealand vs Trio Nunatak",1,2.32544209176937,3.64294147811136,0.248784814414298,7e-04,0.0117297297297297,"."
"136","Mt. New Zealand vs Pudding Butte",1,1.85242645015498,2.84583546405949,0.159467763209565,0.0053,0.041075,"."
"137","Mt. New Zealand vs Unnamed Nunatak",1,1.65890273243048,2.46865401726257,0.235813889081807,0.0159,0.0741203007518797,""
"138","Mt. New Zealand vs Finger Mt.",1,1.28054957748597,1.88779405115177,0.118820400432804,0.0247,0.0878628571428571,""
"139","Mt. New Zealand vs Knobhead",1,0.634551015954512,0.91019775557583,0.185368859032662,0.666666666666667,0.701754385964912,""
"140","Mt. New Zealand vs Mt. Bowen",1,0.834500107961186,1.19700403308236,0.230325784906581,0.333333333333333,0.393216730038023,""
"141","Mt. New Zealand vs Schultz Peak",1,0.865839374293198,1.19039967656532,0.192297709156286,0.380952380952381,0.441477525589675,""
"142","Mt. New Zealand vs Archambault Ridge",1,0.976617353312387,1.52229400263311,0.233398556093691,0.285714285714286,0.393216730038023,""
"143","Mt. New Zealand vs Helliwell Hills",1,1.63820885034042,2.43310395814727,0.233209979303162,0.0085,0.0462280701754386,"."
"144","Mt. New Zealand vs Mt. Keinath",1,1.19021761828182,1.70724398443732,0.299136323783017,0.166666666666667,0.273356200527704,""
"145","Mt. New Zealand vs Mt. Dickason",1,1.24089259342035,1.68001102059077,0.193549411009437,0.0768,0.181049429657795,""
"146","Mt. New Zealand vs Mt. Burrow",1,1.12416729722228,1.49841952491235,0.230582146807852,0.19047619047619,0.300242130750605,""
"147","Mt. New Zealand vs Random Hills",1,1.3546894049339,1.75496575121091,0.226302192364535,0.035,0.113020833333333,""
"148","Mt. New Zealand vs Mt. McGee",1,1.52048616395592,2.21929583480081,0.307411676371903,0.0476190476190476,0.134811915633833,""
"149","Mt. New Zealand vs Harrow Peak",1,1.19102736955122,1.708405488823,0.29927893037172,0.166666666666667,0.273356200527704,""
"150","Mt. New Zealand vs Starr Nunatak",1,2.06276374069091,2.84098382171159,0.262059594261349,0.0075,0.0449357798165138,"."
"151","Mt. New Zealand vs Kay Island",1,1.82978151467076,2.63049168518399,0.304790477893603,0.0193,0.0766114649681529,""
"152","Mt. New Zealand vs Inexpressible Island",1,1.87745579379615,2.35272939180104,0.190462311378943,0.0037,0.0332463768115942,"."
"153","Mt. New Zealand vs Ricker Hills",1,2.0155824153865,3.7607208583005,0.294710690725144,0.0062,0.0436818181818182,"."
"154","Mt. New Zealand vs Mt. Larsen",1,1.19904175446351,1.95540007039318,0.281134090146255,0.0952380952380952,0.198717948717949,""
"155","Mt. New Zealand vs Mt. Nansen",1,1.19350889391169,1.59954659920719,0.210479214559203,0.0875,0.195111111111111,""
"156","Mt. New Zealand vs Vegetation Island",1,1.52646064828098,1.94983083336591,0.217862311553056,0.0166,0.0750985915492958,""
"157","Mt. New Zealand vs Widowmaker Pass",1,1.56258294024884,2.4310948511556,0.257774403664037,0.0307,0.100708994708995,""
"158","Mt. New Zealand vs Crater Circle",1,1.11108174225593,1.47516648779046,0.227819082423908,0.19047619047619,0.300242130750605,""
"159","Mt. New Zealand vs Mt. Billing",1,1.64175777481059,2.30860901742142,0.161344056197956,0.0255,0.0898295454545455,""
"160","Mt. New Zealand vs Anderson Ridge",1,1.42584551183146,2.43015106802949,0.327066172111353,0.0476190476190476,0.134811915633833,""
"161","Mt. New Zealand vs Siegfried Peak",1,1.70143586551597,2.32311250000539,0.225039928607208,0.0087,0.0465,"."
"162","Mt. New Zealand vs Convoy Range",1,1.04950112793091,1.43146624146727,0.192622316371397,0.1902,0.300242130750605,""
"163","Mt. New Zealand vs Dufayel Island",1,1.20189512878399,1.72399416461597,0.301187268022247,0.166666666666667,0.273356200527704,""
"164","Mt. New Zealand vs Machu Picchu Base",1,1.27777354701438,1.70861361784307,0.254689525313938,0.0952380952380952,0.198717948717949,""
"165","Mt. New Zealand vs Richard Nunatak",1,0.438130210202207,0.628318780006218,0.111635251051918,0.904761904761905,0.922619047619048,""
"166","Trio Nunatak vs Pudding Butte",1,2.11336889622629,3.39394558831051,0.15864047023495,0.0028,0.0284590163934426,"."
"167","Trio Nunatak vs Unnamed Nunatak",1,1.95832807636801,3.15841029001293,0.223076618442172,0.0033,0.03196875,"."
"168","Trio Nunatak vs Finger Mt.",1,3.30056470817296,5.12831444979634,0.23175350573724,1e-04,0.00413333333333333,"*"
"169","Trio Nunatak vs Knobhead",1,0.888173523818042,1.46870344692147,0.173427190611495,0.3346,0.393647058823529,""
"170","Trio Nunatak vs Mt. Bowen",1,0.901816525362932,1.49126381700456,0.17562330521614,0.2215,0.328540669856459,""
"171","Trio Nunatak vs Schultz Peak",1,1.08128537401725,1.70238893847704,0.175460801383238,0.063,0.164117647058824,""
"172","Trio Nunatak vs Archambault Ridge",1,1.26189327085071,2.16996406838628,0.213369885458268,0.0202,0.0777888198757764,""
"173","Trio Nunatak vs Helliwell Hills",1,1.93276615033558,3.11238949091204,0.220543054945892,0.0013,0.0179111111111111,"."
"174","Trio Nunatak vs Mt. Keinath",1,1.22401193446672,2.02405329478452,0.224295361370962,0.1133,0.214164634146341,""
"175","Trio Nunatak vs Mt. Dickason",1,1.184493811253,1.7906575135655,0.151870878405661,0.0722,0.173744186046512,""
"176","Trio Nunatak vs Mt. Burrow",1,1.17313495760991,1.80632402654029,0.184199912388329,0.0655,0.168021680216802,""
"177","Trio Nunatak vs Random Hills",1,1.60529935321048,2.37782620531866,0.208987741806702,0.0127,0.061515625,""
"178","Trio Nunatak vs Mt. McGee",1,1.52385891220895,2.50320393064127,0.238327651940434,0.0188,0.0764,""
"179","Trio Nunatak vs Harrow Peak",1,1.26987581184709,2.09989482010737,0.230760339720344,0.1097,0.210227692307692,""
"180","Trio Nunatak vs Starr Nunatak",1,2.57702255666479,3.90829840300513,0.262155901187041,8e-04,0.0124,"."
"181","Trio Nunatak vs Kay Island",1,2.14416476172586,3.43485970930833,0.276228263897268,0.0071,0.0449357798165138,"."
"182","Trio Nunatak vs Inexpressible Island",1,2.29136012713863,3.16069540738006,0.195579170803298,4e-04,0.008,"*"
"183","Trio Nunatak vs Ricker Hills",1,2.02492915859806,3.87663119977142,0.24417215157251,0.0069,0.0449357798165138,"."
"184","Trio Nunatak vs Mt. Larsen",1,1.43699945882061,2.54873129676085,0.241614960610806,0.0206,0.0788395061728395,""
"185","Trio Nunatak vs Mt. Nansen",1,1.33088284072884,2.02281328140984,0.183511525575902,0.0186,0.0764,""
"186","Trio Nunatak vs Vegetation Island",1,1.68548386943148,2.43405938513605,0.195757419981907,0.0097,0.0505378151260504,""
"187","Trio Nunatak vs Widowmaker Pass",1,1.51980628083595,2.55698530183408,0.203630508467714,0.0189,0.0764,""
"188","Trio Nunatak vs Crater Circle",1,1.12895750870156,1.73337233485902,0.178085485197267,0.09,0.197173144876325,""
"189","Trio Nunatak vs Mt. Billing",1,1.93171783602152,2.90389195264423,0.162193335411374,0.0062,0.0436818181818182,"."
"190","Trio Nunatak vs Anderson Ridge",1,1.21090904828067,2.2126363988881,0.216656729219205,0.0699,0.171296442687747,""
"191","Trio Nunatak vs Siegfried Peak",1,1.8143358661293,2.73256007046217,0.198984024569441,0.0012,0.0169090909090909,"."
"192","Trio Nunatak vs Convoy Range",1,1.34382715291592,2.06972859123319,0.186971936500081,0.0121,0.060016,""
"193","Trio Nunatak vs Dufayel Island",1,1.30537148150061,2.15859124706999,0.235690314027342,0.1124,0.213113149847095,""
"194","Trio Nunatak vs Machu Picchu Base",1,1.41688971386148,2.18667896896777,0.214660634307723,0.022,0.0826666666666667,""
"195","Trio Nunatak vs Richard Nunatak",1,1.42363598840138,2.30967716899373,0.224030018703211,0.0208,0.0791165644171779,""
"196","Pudding Butte vs Unnamed Nunatak",1,1.8429177626018,2.89084666608962,0.161582440453695,0.0074,0.0449357798165138,"."
"197","Pudding Butte vs Finger Mt.",1,2.99577880395394,4.59768813383633,0.179613413125339,1e-04,0.00413333333333333,"*"
"198","Pudding Butte vs Knobhead",1,0.683214545617233,1.07743218857769,0.0892103695350641,0.5386,0.589985865724382,""
"199","Pudding Butte vs Mt. Bowen",1,0.799249964682812,1.26042052850452,0.102804020920338,0.1574,0.27183286908078,""
"200","Pudding Butte vs Schultz Peak",1,0.781559685346715,1.19880602834677,0.0908268540178648,0.3336,0.393216730038023,""
"201","Pudding Butte vs Archambault Ridge",1,1.11020254219221,1.80170704996386,0.130542333889675,0.0585,0.153686440677966,""
"202","Pudding Butte vs Helliwell Hills",1,2.11310629260221,3.31103338855436,0.180821765669653,3e-04,0.00664285714285714,"*"
"203","Pudding Butte vs Mt. Keinath",1,1.26495415821632,1.99483798446677,0.153510031202488,0.0749,0.17724427480916,""
"204","Pudding Butte vs Mt. Dickason",1,1.07485781946795,1.60821328993984,0.103036347598889,0.1109,0.210914110429448,""
"205","Pudding Butte vs Mt. Burrow",1,1.16125357756552,1.7555299249429,0.127623576446851,0.0573,0.15208547008547,""
"206","Pudding Butte vs Random Hills",1,1.57511072265067,2.32208436252585,0.151551466992644,0.0062,0.0436818181818182,"."
"207","Pudding Butte vs Mt. McGee",1,1.62617524542968,2.5635209654993,0.176023433589462,0.0115,0.0579674796747967,""
"208","Pudding Butte vs Harrow Peak",1,1.28300161774801,2.02329890343613,0.155359937481147,0.0748,0.17724427480916,""
"209","Pudding Butte vs Starr Nunatak",1,2.79554409659682,4.19532498504084,0.218559726824647,3e-04,0.00664285714285714,"*"
"210","Pudding Butte vs Kay Island",1,2.25225067039226,3.50219976121652,0.21222623722247,0.0027,0.0279,"."
"211","Pudding Butte vs Inexpressible Island",1,2.4469477780258,3.41906211467735,0.167444620887837,8e-04,0.0124,"."
"212","Pudding Butte vs Ricker Hills",1,1.83325905528761,3.25542708134261,0.169065431142627,0.0089,0.0471623931623932,"."
"213","Pudding Butte vs Mt. Larsen",1,1.14898476756902,1.90108681626994,0.136758142826998,0.0643,0.166108333333333,""
"214","Pudding Butte vs Mt. Nansen",1,1.10959599692084,1.66499297847562,0.113535204614104,0.0919,0.198717948717949,""
"215","Pudding Butte vs Vegetation Island",1,1.73986777135421,2.51979992333441,0.152532109046621,0.0065,0.0447777777777778,"."
"216","Pudding Butte vs Widowmaker Pass",1,1.33522997695993,2.15214320005467,0.133241958878088,0.0415,0.128009950248756,""
"217","Pudding Butte vs Crater Circle",1,1.01148958327811,1.52628226537059,0.112838268152818,0.1625,0.273356200527704,""
"218","Pudding Butte vs Mt. Billing",1,1.625116649237,2.42738306872807,0.113284158916759,0.0199,0.0771125,""
"219","Pudding Butte vs Anderson Ridge",1,1.08457157637997,1.82785826926268,0.132186650576666,0.0788,0.184362264150943,""
"220","Pudding Butte vs Siegfried Peak",1,1.99470457409823,2.97842122355649,0.165666450158258,0.0014,0.018468085106383,"."
"221","Pudding Butte vs Convoy Range",1,1.12495040986968,1.703356073226,0.115848114181749,0.0878,0.195111111111111,""
