"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","Battleship Promontory vs University Valley",1,1.03436815842249,1.45461916849069,0.0594823889289978,0.0915,0.198717948717949,""
"2","Battleship Promontory vs Mt. Elektra",1,2.75819186976065,3.73153276251916,0.117596990679467,1e-04,0.00413333333333333,"*"
"3","Battleship Promontory vs Linnaeus Terrace",1,1.92479977575935,2.65354487165236,0.076573547712951,0.0018,0.0210566037735849,"."
"4","Battleship Promontory vs Mt. New Zealand",1,1.27801799402148,1.80325625265136,0.0866814421142141,0.0395,0.12245,""
"5","Battleship Promontory vs Trio Nunatak",1,3.06119720568272,4.51675646309091,0.170335933407913,1e-04,0.00413333333333333,"*"
"6","Battleship Promontory vs Pudding Butte",1,2.48049656199067,3.65348178216252,0.123205828205988,3e-04,0.00664285714285714,"*"
"7","Battleship Promontory vs Unnamed Nunatak",1,1.86017360067066,2.66450986433272,0.122989621321617,0.002,0.0221428571428571,"."
"8","Battleship Promontory vs Finger Mt.",1,2.12453286899648,3.05508692846705,0.108896006498098,7e-04,0.0117297297297297,"."
"9","Battleship Promontory vs Knobhead",1,0.509034745810372,0.715123884256603,0.0455054563695176,1,1,""
"10","Battleship Promontory vs Mt. Bowen",1,0.747451791697872,1.05006707886432,0.0654244666832023,0.3011,0.393216730038023,""
"11","Battleship Promontory vs Schultz Peak",1,0.830708186899077,1.15322775110299,0.0672309473083767,0.3403,0.399594696969697,""
"12","Battleship Promontory vs Archambault Ridge",1,0.960481294321101,1.38494076521878,0.0796632432587613,0.117,0.219818181818182,""
"13","Battleship Promontory vs Helliwell Hills",1,2.0078452593791,2.87375838294038,0.13137926883117,6e-04,0.0106285714285714,"."
"14","Battleship Promontory vs Mt. Keinath",1,1.22471133716066,1.72055117206025,0.102900386138901,0.1163,0.21916717325228,""
"15","Battleship Promontory vs Mt. Dickason",1,1.11389934309477,1.53536304092754,0.0785940367584099,0.0952,0.198717948717949,""
"16","Battleship Promontory vs Mt. Burrow",1,1.04409164174142,1.4352085669732,0.0823166847393991,0.0718,0.173744186046512,""
"17","Battleship Promontory vs Random Hills",1,1.49718669073444,2.03290847024025,0.106810184760721,0.0073,0.0449357798165138,"."
