"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","group","Dufayel Island-Machu Picchu Base",0,-0.689413627559552,-1.53159517939395,0.152767924274845,0.325191648197521
"2","group","Helliwell Hills-Machu Picchu Base",0,0.0218579428243808,-0.553461583685387,0.597177469334149,1
"3","group","Crater Circle-Machu Picchu Base",0,0.00963017837251823,-0.678008179220673,0.69726853596571,1
"4","group","Mt. Burrow-Machu Picchu Base",0,0.00432534510300564,-0.683313012490186,0.691963702696197,1
"5","group","Archambault Ridge-Machu Picchu Base",0,-0.231654557894715,-0.919292915487906,0.455983799698477,0.999996946895354
"6","group","Random Hills-Machu Picchu Base",0,0.0942563166415287,-0.533468749791129,0.721981383074187,1
"7","group","Kay Island-Machu Picchu Base",0,-0.0120886368697625,-0.639813703302421,0.615636429562896,1
"8","group","Mt. New Zealand-Machu Picchu Base",0,0.036200110951942,-0.539119415557826,0.61151963746171,1
"9","group","Mt. Dickason-Machu Picchu Base",0,0.0712203625686673,-0.524291923723645,0.666732648860979,1
"10","group","Mt. Nansen-Machu Picchu Base",0,0.0583219403208131,-0.569403126111845,0.686047006753471,1
"11","group","Mt. Keinath-Machu Picchu Base",0,-0.689413627559554,-1.53159517939395,0.152767924274843,0.325191648197517
"12","group","Anderson Ridge-Machu Picchu Base",0,-0.420130416854658,-1.10776877444785,0.267507940738534,0.896146999944762
"13","group","Vegetation Island-Machu Picchu Base",0,0.128365770170193,-0.467146516122119,0.723878056462505,0.999999999985027
"14","group","Mt. Larsen-Machu Picchu Base",0,-0.317025184312221,-1.00466354190541,0.37061317328097,0.997847130933838
"15","group","Inexpressible Island-Machu Picchu Base",0,0.165629068100828,-0.385708176210101,0.716966312411756,0.999999826910774
"16","group","Mt. Billing-Machu Picchu Base",0,0.0540084051142166,-0.483543226471484,0.591560036699917,1
"17","group","Widowmaker Pass-Machu Picchu Base",0,-0.0520479713910902,-0.647560257683402,0.543464314901222,1
"18","group","Trio Nunatak-Machu Picchu Base",0,0.02774589535675,-0.515879958766206,0.571371749479706,1
"19","group","Unnamed Nunatak-Machu Picchu Base",0,0.023205454656635,-0.552114071853133,0.598524981166403,1
"20","group","Harrow Peak-Machu Picchu Base",0,-0.689413627559553,-1.53159517939395,0.152767924274844,0.325191648197517
"21","group","Mt. McGee-Machu Picchu Base",0,-0.125066335161274,-0.812704692754465,0.562572022431918,1
"22","group","Ricker Hills-Machu Picchu Base",0,-0.21701041944951,-0.778464787339108,0.344443948440088,0.999930173777727
"23","group","Mt. Bowen-Machu Picchu Base",0,-0.689413627559552,-1.53159517939395,0.152767924274845,0.325191648197521
"24","group","Pudding Butte-Machu Picchu Base",0,0.0655324723941149,-0.459659998343537,0.590724943131767,1
"25","group","Starr Nunatak-Machu Picchu Base",0,0.0833136403052201,-0.492005886204548,0.658633166814988,1
"26","group","Richard Nunatak-Machu Picchu Base",0,-0.0986942259031685,-0.78633258349636,0.588944131690023,1
"27","group","Schultz Peak-Machu Picchu Base",0,-0.0382109381563449,-0.725849295749536,0.649427419436847,1
"28","group","Battleship Promontory-Machu Picchu Base",0,0.121446743750914,-0.39428202444398,0.637175511945807,0.99999999979363
"29","group","Convoy Range-Machu Picchu Base",0,0.0276736826902247,-0.600051383742433,0.655398749122883,1
"30","group","Mt. Elektra-Machu Picchu Base",0,0.154041253298374,-0.365764485598908,0.673846992195656,0.999999878719902
"31","group","Siegfried Peak-Machu Picchu Base",0,0.0936437012543935,-0.481675825255374,0.668963227764161,1
"32","group","Linnaeus Terrace-Machu Picchu Base",0,0.13777202678868,-0.374763343716215,0.650307397293575,0.999999991190463
"33","group","Finger Mt.-Machu Picchu Base",0,0.0845625726116974,-0.444029237631459,0.613154382854853,1
"34","group","University Valley-Machu Picchu Base",0,0.096633869259062,-0.440917762326639,0.634185500844763,1
"35","group","Knobhead-Machu Picchu Base",0,-0.68941362755955,-1.53159517939395,0.152767924274847,0.325191648197528
"36","group","Helliwell Hills-Dufayel Island",0,0.711271570383933,-0.0419985093352566,1.46454165010312,0.0965510022586098
"37","group","Crater Circle-Dufayel Island",0,0.69904380593207,-0.143137745902327,1.54122535776647,0.296220791870345
"38","group","Mt. Burrow-Dufayel Island",0,0.693738972662558,-0.148442579171839,1.53592052449695,0.311987562277105
"39","group","Archambault Ridge-Dufayel Island",0,0.457759069664837,-0.38442248216956,1.29994062149923,0.973266538913054
"40","group","Random Hills-Dufayel Island",0,0.783669944201081,-0.0103464375220016,1.57768632592416,0.0586528022935106
"41","group","Kay Island-Dufayel Island",0,0.67732499068979,-0.116691391033293,1.47134137241287,0.24284246658385
"42","group","Mt. New Zealand-Dufayel Island",0,0.725613738511494,-0.0276563412076954,1.47888381823068,0.0776943904563667
