"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","Sandstone vs Granite",1,3.43407877299039,4.13928640951826,0.0233674104340066,1e-04,6e-04,"**"
"2","Sandstone vs Quartz",1,1.97473857315864,2.40055950742286,0.0174712498699336,5e-04,0.0015,"*"
"3","Sandstone vs Basalt/Dolerite",1,1.31986361685093,1.60642183383404,0.0120235375798923,0.0087,0.0174,"."
"4","Granite vs Quartz",1,1.39560788774139,1.62106083471398,0.0340408383664626,0.0268,0.0402,"."
"5","Granite vs Basalt/Dolerite",1,1.20568029321863,1.40109231747887,0.0315553569597051,0.0358,0.04296,"."
"6","Quartz vs Basalt/Dolerite",1,1.0678237101695,1.17866660181194,0.190763910366403,0.238095238095238,0.238095238095238,""
