"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","Not-determined","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"1","BatPronordMG_2",9196.69915254237,11.5953389830508,289,461,472,18,2,2,136,5,327,"Dry Valleys","Battleship Promontory",2015,"Sandstone",-76.901,160.91
"2","ButProsudMG_2",9031.39565217391,11.0782608695652,142,226,230,2,0,2,73,1,154,"Dry Valleys","Battleship Promontory",2015,"Sandstone",-76.901,160.91
"3","FICUS_Selbmann_11",10559.332247557,13.4364820846906,197,303,307,14,0,1,101,5,200,"Dry Valleys","Battleship Promontory",2015,"Sandstone",-76.901,160.91
"4","FICUS_Selbmann_12",7721.73949579832,10.1932773109244,82,116,119,2,0,0,32,1,86,"Dry Valleys","Battleship Promontory",2015,"Sandstone",-76.901,160.91
"5","FICUS_Selbmann_13",11131.2838709677,14.1838709677419,188,307,310,14,1,4,85,11,209,"Dry Valleys","Battleship Promontory",2015,"Sandstone",-76.901,160.91
"6","FICUS_Selbmann_14",9355.0404040404,10.3535353535354,67,99,99,5,0,0,29,2,68,"Dry Valleys","Battleship Promontory",2015,"Sandstone",-76.901,160.91
"7","FICUS_Selbmann_17",9075.26542056075,11.1233644859813,255,532,535,16,0,1,194,7,333,"Dry Valleys","University Valley",2015,"Sandstone",-77.875,160.74
"8","FICUS_Selbmann_18",10290.0321428571,12.5892857142857,164,280,280,8,0,0,85,7,188,"Dry Valleys","University Valley",2015,"Sandstone",-77.875,160.739
"9","FICUS_Selbmann_19",10858.4703832753,12.4738675958188,162,282,287,17,0,1,90,2,194,"Dry Valleys","University Valley",2015,"Sandstone",-77.875,160.739
"10","FICUS_Selbmann_2",8728.57495590829,10.1093474426808,298,552,567,15,0,0,159,5,403,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"11","FICUS_Selbmann_20",9422.84249084249,11.9377289377289,171,269,273,10,0,0,93,6,174,"Dry Valleys","University Valley",2015,"Sandstone",-77.873,160.755
"12","FICUS_Selbmann_21",9835.3125,11.7421875,202,377,384,18,0,0,121,3,260,"Dry Valleys","Mt. Elektra",2015,"Sandstone",-77.491,160.905
"13","FICUS_Selbmann_23",10023.3043478261,11.1932367149758,121,205,207,3,0,2,52,1,152,"Dry Valleys","Mt. Elektra",2015,"Sandstone",-77.491,160.905
"14","FICUS_Selbmann_24",10052,12.4122807017544,53,114,114,1,0,0,17,1,96,"Dry Valleys","Mt. Elektra",2015,"Sandstone",-77.491,160.905
"15","FICUS_Selbmann_25",9818.13927576602,12.4122562674095,199,358,359,7,1,2,69,4,283,"Dry Valleys","Mt. Elektra",2015,"Sandstone",-77.491,160.905
"16","FICUS_Selbmann_27",9237.09925558313,11.2084367245658,219,400,403,15,0,1,108,4,290,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"17","FICUS_Selbmann_28",9712.48167539267,11.8743455497382,210,381,382,17,2,1,114,10,255,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"18","FICUS_Selbmann_29",9810.93411764706,11.9811764705882,232,425,425,18,1,1,156,6,261,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"19","FICUS_Selbmann_3",9677.20093457944,11.0841121495327,252,417,428,19,0,0,128,4,296,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"20","FICUS_Selbmann_30",9773.77135678392,11.6909547738693,228,389,398,9,0,1,94,3,300,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"21","FICUS_Selbmann_31",9968.93281653747,11.6614987080103,212,381,387,10,0,2,111,0,274,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"22","FICUS_Selbmann_32",9363.33962264151,11.3962264150943,181,316,318,22,0,2,102,1,213,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"23","FICUS_Selbmann_33",8702.37044534413,10.0263157894737,252,489,494,14,0,0,122,5,367,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
