"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"163","Mars-85b",21965.2330097087,27.495145631068,57,103,103,19,0,1,95,7,"Northen Victoria Land","Inexpressible Island",1998,"Granite",-74.889306,163.7455
"164","Mars-86",23566.7543859649,29.6491228070175,24,56,57,12,1,2,48,6,"Northen Victoria Land","Mt. Billing",1996,"Sandstone",-75.70525,160.913889
"165","Mars-87b",24959.8550724638,29.8405797101449,28,69,69,15,0,2,59,8,"Northen Victoria Land","Anderson Ridge",1996,"Granite",-74.714167,162.617778
"166","Mars-88",22739.544,30.836,85,250,250,33,4,5,206,35,"Antarctic Peninsula","Dufayel Island",2001,"Basalt/Dolerite",-62.16608,-58.55799
"167","Mars-89b",22274.0229007634,26.1297709923664,48,131,131,15,2,7,107,15,"Antarctic Peninsula","Machu Picchu Base",2001,"Quartz",-62.10008,-58.51664
"168","Mars-8b",25456.0666666667,28.8,8,15,15,4,1,0,13,1,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"169","Mars-9",19561.0263157895,23.8026315789474,31,74,76,11,0,2,70,4,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"170","Mars-90b",24431.5450819672,31.8196721311475,67,244,244,40,7,0,214,23,"Antarctic Peninsula","Machu Picchu Base",2001,"Quartz",-62.10008,-58.51664
"171","Mars-91",26986.1875,29.6875,8,16,16,1,0,1,13,2,"Northen Victoria Land","Mt. Billing",1996,"Granite",-74.889306,163.7455
"172","Mars-93",21762.453125,27.390625,48,128,128,15,0,4,109,15,"Northen Victoria Land","Vegetation Island",2004,"Granite",-74.784167,163.659722
"173","Mars-94",24130.24,30.808,65,125,125,29,0,1,109,15,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.399583,164.005972
"174","Mars-95",24542.375,29.225,17,40,40,5,0,5,34,1,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.399583,164.005972
"175","MtNewZealnordMG_2",23448.7708333333,30.0625,47,93,96,21,0,1,78,17,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.178,162.514
"176","PudButsudMG_2",21684.5,25.6029411764706,31,67,68,12,0,5,57,6,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.973
"177","RickerHillsnord_2",19687.3653846154,25.2307692307692,32,51,52,8,0,2,45,5,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.703,159.233
"178","RicNunsandstonMG_3",20196.3232323232,24.4040404040404,43,99,99,12,0,1,91,7,"Northen Victoria Land","Richard Nunatak",2015,"Sandstone",-75.933,159.8
"179","RicNunsandstonMG_4",22343.1067961165,28.9708737864078,56,102,103,20,0,2,86,15,"Northen Victoria Land","Richard Nunatak",2015,"Sandstone",-75.933,159.797
"180","SiePeanordMG_2",22660.9130434783,30,62,115,115,20,1,1,95,18,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578,161.786
"181","SiePeasudMG_2",25978.9485294118,33.9705882352941,79,136,136,38,1,2,110,23,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578,161.786
"182","TrioNunataknord_2",23115.3086419753,28.2839506172839,41,80,81,26,1,4,71,5,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"183","UniValnordMG_2",17687.4603174603,23.1746031746032,35,62,63,11,0,3,56,4,"Dry Valleys","University Valley",2015,"Sandstone",-77.874,160.739
"184","UniValsudMG_2",21404.0769230769,27.3076923076923,71,139,143,19,0,4,123,16,"Dry Valleys","University Valley",2015,"Sandstone",-77.872,160.755
