"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"16","FICUS_Selbmann_27",19431.9,23.725,24,40,40,8,0,1,35,4,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"17","FICUS_Selbmann_28",22618.3617021277,30.3617021276596,22,47,47,6,2,1,35,9,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"18","FICUS_Selbmann_29",19593.4920634921,25.5873015873016,37,63,63,5,1,1,55,6,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"19","FICUS_Selbmann_3",26785.1860465116,30.953488372093,25,40,43,3,0,0,39,4,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"20","FICUS_Selbmann_30",24651.3333333333,26.6410256410256,19,35,39,4,0,1,35,3,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"21","FICUS_Selbmann_31",23033.2765957447,26.0851063829787,21,46,47,5,0,2,45,0,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"22","FICUS_Selbmann_32",21231.3333333333,25.974358974359,22,39,39,12,0,2,36,1,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"23","FICUS_Selbmann_33",18757.6,23.6,19,40,40,5,0,0,35,5,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"24","FICUS_Selbmann_34",19460.6041666667,24.9166666666667,27,48,48,8,0,0,45,3,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"25","FICUS_Selbmann_35",19868.6949152542,25.2542372881356,31,59,59,7,0,1,54,4,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.492,160.907
"26","FICUS_Selbmann_37",23457.1379310345,29.7758620689655,24,58,58,6,1,1,47,9,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"27","FICUS_Selbmann_38",21639.8571428571,29.6984126984127,31,60,63,7,0,1,51,11,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"28","FICUS_Selbmann_4",28359.0588235294,33.0882352941176,16,28,34,4,0,2,28,4,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"29","FICUS_Selbmann_40",28132.3333333333,26.6666666666667,5,6,6,0,0,1,5,0,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"30","FICUS_Selbmann_41",20358.75,26.9107142857143,29,56,56,8,0,0,48,8,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"31","FICUS_Selbmann_42",20352.3571428571,25.6428571428571,4,14,14,0,0,0,13,1,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.179,162.515
"32","FICUS_Selbmann_44",28169.3953488372,37.4186046511628,25,43,43,17,0,1,32,10,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"33","FICUS_Selbmann_45",31231.7037037037,39.4814814814815,22,27,27,9,1,1,20,5,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"34","FICUS_Selbmann_47",24501.064516129,31.2258064516129,28,62,62,12,0,1,53,8,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"35","FICUS_Selbmann_48",20643.5454545455,23.4545454545455,11,22,22,9,0,0,21,1,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"36","FICUS_Selbmann_49",22392.4426229508,27.2786885245902,28,60,61,15,0,3,52,6,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"37","FICUS_Selbmann_5",19748.0512820513,22.8974358974359,22,38,39,6,0,0,39,0,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"38","FICUS_Selbmann_51",21294,26.8846153846154,17,26,26,7,0,0,23,3,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"39","FICUS_Selbmann_52",27159.0454545455,35,30,44,44,15,1,1,36,6,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"40","FICUS_Selbmann_53",17739.7083333333,21.1666666666667,15,24,24,3,0,3,19,2,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"41","FICUS_Selbmann_54",17782.12,21.28,16,25,25,4,0,3,21,1,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"42","FICUS_Selbmann_56",32306.0769230769,42.5384615384615,7,13,13,4,0,0,11,2,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"43","FICUS_Selbmann_57",26691.6923076923,29.0769230769231,9,13,13,5,0,0,10,3,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"44","FICUS_Selbmann_58",28027.5,30.625,6,7,8,5,0,0,7,1,"Northen Victoria Land","Unnamed Nunatak",2015,"Sandstone",-75.662,158.876
"45","FICUS_Selbmann_59",23431.6666666667,29,31,71,75,16,0,2,66,7,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"46","FICUS_Selbmann_6",27194.7173913043,33.5652173913044,25,45,46,10,0,1,37,8,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"47","FICUS_Selbmann_60",21210.6923076923,27.3461538461538,40,77,78,13,0,1,68,9,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"48","FICUS_Selbmann_61",25556.2159090909,33.2159090909091,46,88,88,19,0,1,72,15,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"49","FICUS_Selbmann_62",25090.5360824742,30.7525773195876,48,96,97,21,0,4,86,7,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"50","FICUS_Selbmann_63",23646.8144329897,30.2164948453608,49,96,97,19,0,5,85,7,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"51","FICUS_Selbmann_64",24472.0625,30.1875,16,32,32,6,0,0,29,3,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"52","FICUS_Selbmann_65",20433.9571428571,25.1571428571429,38,69,70,14,0,0,64,6,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"53","FICUS_Selbmann_66",25399.6470588235,31.6470588235294,10,17,17,4,0,1,14,2,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.974
"54","FICUS_Selbmann_67",18988.3188405797,25.2463768115942,33,68,69,8,0,0,64,5,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"55","FICUS_Selbmann_68",20854.5818181818,27.0181818181818,26,54,55,7,0,0,49,6,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"56","FICUS_Selbmann_7",20554.4285714286,23.3214285714286,12,27,28,5,0,1,25,2,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"57","FICUS_Selbmann_70",19191.7547169811,24,26,49,53,10,0,0,50,3,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"58","FICUS_Selbmann_71",20257,25.0714285714286,34,67,70,11,0,1,62,7,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"59","FICUS_Selbmann_72",20139.4210526316,26.1052631578947,29,55,57,8,0,0,51,6,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"60","FICUS_Selbmann_73",16374.2857142857,21.2857142857143,8,14,14,2,0,0,12,2,"Dry Valleys","Linnaeus Terrace",2018,"Sandstone",-77.598,161.007
"61","FICUS_Selbmann_74",21117.2469135802,27.7777777777778,50,81,81,19,0,2,71,8,"Dry Valleys","Battleship Promontory",2004,"Sandstone",-76.91,160.935
"62","FICUS_Selbmann_76",16660.2702702703,20.8783783783784,40,73,74,4,0,0,69,5,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"63","FICUS_Selbmann_77",19374.358974359,25.2307692307692,19,39,39,7,0,0,38,1,"Dry Valleys","Battleship Promontory",2004,"Sandstone",-76.91,160.935
"64","FICUS_Selbmann_78",34898.0067114094,42.7785234899329,50,149,149,68,8,12,101,28,"Dry Valleys","Battleship Promontory",2004,"Sandstone",-76.91,160.935
"65","FICUS_Selbmann_79",26549.4615384615,36.7179487179487,23,39,39,6,1,2,29,7,"Dry Valleys","Linnaeus Terrace",2004,"Sandstone",-77.598,161.007
"66","FICUS_Selbmann_8",23846.8421052632,30.4736842105263,14,19,19,2,0,0,16,3,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"67","FICUS_Selbmann_80",20746.0238095238,26.6904761904762,40,84,84,17,0,0,79,5,"Dry Valleys","Linnaeus Terrace",2004,"Sandstone",-77.598,161.007
"68","FICUS_Selbmann_82",18716,26.6470588235294,11,17,17,2,0,0,15,2,"Dry Valleys","Linnaeus Terrace",2004,"Sandstone",-77.598,161.007
"69","FICUS_Selbmann_84",16642.2,18.9,5,10,10,0,1,1,8,0,"Dry Valleys","University Valley",2004,"Sandstone",-77.875,160.739
"70","FICUS_Selbmann_85",20645.4814814815,26.8518518518519,15,27,27,4,0,2,22,3,"Dry Valleys","University Valley",2004,"Sandstone",-77.875,160.739
"71","FICUS_Selbmann_87",19937.8,25.84,12,25,25,4,0,0,22,3,"Dry Valleys","University Valley",2004,"Sandstone",-77.875,160.739
"72","FICUS_Selbmann_88",19223.5294117647,25.2470588235294,47,81,85,11,0,1,75,9,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"73","FICUS_Selbmann_89",20437.9603960396,23.4752475247525,57,97,101,13,0,2,94,5,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"74","FICUS_Selbmann_9",23419.2181818182,30.9090909090909,41,55,55,10,0,1,48,6,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"75","FICUS_Selbmann_91",22684.813559322,29.0169491525424,33,59,59,14,1,1,50,7,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"76","FICUS_Selbmann_92",16789.6567164179,22.134328358209,37,66,67,9,0,1,61,5,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"77","FICUS_Selbmann_93",20931.65625,26.5625,36,62,64,8,1,1,55,7,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"78","FICUS_Selbmann_94",19289.5714285714,24.797619047619,43,82,84,16,0,1,78,5,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"79","FICUS_Selbmann_95",22505.679245283,31.0943396226415,39,53,53,10,0,4,43,6,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"80","FICUS_Selbmann_96",18851.8205128205,23,24,39,39,5,0,1,34,4,"Dry Valleys","Battleship Promontory",2010,"Sandstone",-76.91,160.935
"81","FingerMtnordMG_2",22838.030075188,27.7669172932331,70,133,133,25,1,2,119,11,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.911,161.577
"82","FingerMtsudMG_2",18429.9081632653,23.1020408163265,52,98,98,12,0,1,89,8,"Dry Valleys","Finger Mt.",2015,"Sandstone",-77.755,160.745
"83","KnobheadnordMG_2",18162.5465116279,23.0581395348837,42,85,86,14,0,3,76,7,"Dry Valleys","Knobhead",2015,"Sandstone",-77.91,161.579
"84","KnobheadsudMG_2",21266.7179487179,25.2564102564103,41,73,78,16,0,4,69,5,"Dry Valleys","Knobhead",2015,"Sandstone",-77.911,161.577
"85","LinTernordMG_2",21827.4264705882,29.7352941176471,34,68,68,10,0,2,60,6,"Dry Valleys","Linnaeus Terrace",2015,"Sandstone",-77.6,161.083
"86","Mars-1",22195.9933333333,29.6266666666667,77,150,150,27,1,2,130,17,"Northen Victoria Land","Mt. Bowen",2010,"Sandstone",-75.75,161.08333
